name,latitude,longitude,greek
y_almyros,35.34,25.053,Y_ΑΛΜΥΡΟΣ
y_fragma_faneromenis,35.094,24.852,Y_ΦΡΑΓΜΑ_ΦΑΝΕΡΩΜΕΝΗΣ
y_igme,35.475,23.931,Υ_ΙΓΜΕ
y_keri,35.329,24.03,Y_ΚΕΡΗ
y_limni_kournas,35.327,24.279,Υ_ΛΙΜΝΗ_ΚΟΥΡΝΑΣ
y_g_zoni_toeb_moiron,35.041,24.879,Υ_Γ_ΖΩΝΗ_ΤΟΕB_ΜΟΙΡΩΝ
y_fragma_bramianon,35.035,25.701,Υ_ΦΡΑΓΜΑ_ΜΠΡΑΜΙΑΝΩΝ
y_myloniana,35.466,23.939,Y_ΜΥΛΩΝΙΑΝΑ
y_mythoi,35.055,25.576,Y_ΜΥΘΟΙ
y_nio_chorio,35.421,24.147,Y_ΝΙΟ_ΧΩΡΙΟ
y_fragma_potamon,35.284,24.566,Y_ΦΡΑΓΜΑ_ΠΟΤΑΜΩΝ
y_praitoria,35.025,25.136,Y_ΠΡΑΙΤΩΡΙΑ
y_tympaki_a3,35.084,24.784,Υ_ΤΥΜΠΑΚΙ_Α3
y_tympaki_aerodromio,35.058,24.769,Y_ΤΥΜΠΑΚΙ_ΑΕΡΟΔΡΟΜΙΟ
y_viannos,35.053,25.408,Y_ΒΙΑΝΝΟΣ
