name,latitude,longitude,type,greek
m_agios_stefanos,35.07,25.971,Meteorological,Μ_ΑΓΙΟΣ_ΣΤΕΦΑΝΟΣ
m_anogeia,35.265,24.901,Meteorological,M_ΑΝΩΓΕΙΑ
m_doxaro,35.346,24.839,Meteorological,M_ΔΟΞΑΡΟ
m_meteo_tympaki_a3,35.084,24.784,Meteorological,M_ΜΕΤΕΟ_ΤΥΜΠΑΚΙ_A3
m_potamies,35.252,25.401,Meteorological,M_ΠΟΤΑΜΙΕΣ
m_pyrgos,35.006,25.153,Meteorological,Μ_ΠΥΡΓΟΣ
m_rousochoria,35.158,25.297,Meteorological,M_ΡΟΥΣΟΧΩΡΙΑ
m_tavronitis,35.444,23.79,Meteorological,M_ΤΑΥΡΩΝΙΤΗΣ
m_vasilika_anogeia,35.008,24.968,Meteorological,Μ_ΒΑΣΙΛΙΚΑ_ΑΝΩΓΕΙΑ
m_viannos,35.053,25.408,Meteorological,M_ΒΙΑΝΝΟΣ
m_ziros,35.075,26.139,Meteorological,M_ΖΗΡΟΣ
y_almyros,35.34,25.053,Hydrological,Y_ΑΛΜΥΡΟΣ
y_fragma_faneromenis,35.094,24.852,Hydrological,Y_ΦΡΑΓΜΑ_ΦΑΝΕΡΩΜΕΝΗΣ
y_igme,35.475,23.931,Hydrological,Υ_ΙΓΜΕ
y_keri,35.329,24.03,Hydrological,Y_ΚΕΡΗ
y_limni_kournas,35.327,24.279,Hydrological,Υ_ΛΙΜΝΗ_ΚΟΥΡΝΑΣ
y_g_zoni_toeb_moiron,35.041,24.879,Hydrological,Υ_Γ_ΖΩΝΗ_ΤΟΕB_ΜΟΙΡΩΝ
y_fragma_bramianon,35.035,25.701,Hydrological,Υ_ΦΡΑΓΜΑ_ΜΠΡΑΜΙΑΝΩΝ
y_myloniana,35.466,23.939,Hydrological,Y_ΜΥΛΩΝΙΑΝΑ
y_mythoi,35.055,25.576,Hydrological,Y_ΜΥΘΟΙ
y_nio_chorio,35.421,24.147,Hydrological,Y_ΝΙΟ_ΧΩΡΙΟ
y_fragma_potamon,35.284,24.566,Hydrological,Y_ΦΡΑΓΜΑ_ΠΟΤΑΜΩΝ
y_praitoria,35.025,25.136,Hydrological,Y_ΠΡΑΙΤΩΡΙΑ
y_tympaki_a3,35.084,24.784,Hydrological,Υ_ΤΥΜΠΑΚΙ_Α3
y_tympaki_aerodromio,35.058,24.769,Hydrological,Y_ΤΥΜΠΑΚΙ_ΑΕΡΟΔΡΟΜΙΟ
y_viannos,35.053,25.408,Hydrological,Y_ΒΙΑΝΝΟΣ
